run,time,energy,future_jobs,pending_jobs,running_jobs,finished_jobs,slowdown_total,slowdown_avg,slowdown_max,slowdown_min,bounded_slowdown_total,bounded_slowdown_avg,bounded_slowdown_max,bounded_slowdown_min,waiting_time_total,waiting_time_avg,waiting_time_max,waiting_time_min
0,0,0,7,0,0,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.0,0.0,6,0,1,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.1,2.851475,5,0,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,0.2,6.571960000000001,4,1,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.0,36.335840000000005,3,2,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.2,43.776810000000005,2,3,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.4,51.217780000000005,1,4,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,1.8,66.09972,0,5,2,0,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf,0.0,0.0,-inf,inf
0,2.9411764711764707,108.55701943364991,0,4,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0
0,3.235294118235294,119.49962237482639,0,2,3,2,11.320000002000004,5.660000001000002,10.320000002000004,1.0,2.0,1.0,1,1,2.7411764711764706,1.3705882355882353,2.7411764711764706,0.0
0,3.4333333355686273,126.86764174983045,0,1,3,3,12.320000002000004,4.106666667333335,10.320000002000004,1.0,3.0,1.0,1,1,2.7411764711764706,0.9137254903921569,2.7411764711764706,0.0
0,3.5294117655686272,130.13576972275075,0,0,2,5,27.47999999371735,5.49599999874347,10.320000002000004,1.0,5.0,1.0,1,1,6.611764707647058,1.3223529415294117,2.7411764711764706,0.0
0,4.100000002235294,149.54444841649712,0,0,1,6,30.92999999707029,5.154999999511715,10.320000002000004,1.0,6.0,1.0,1,1,8.245098043215686,1.3741830072026142,2.7411764711764706,0.0
0,6.470588236352942,217.41507940046148,0,0,0,7,32.78999999730629,4.684285713900898,10.320000002000004,1.0,7.0,1.0,1,1,10.774509808784313,1.5392156869691875,2.7411764711764706,0.0
